Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,Q5OTH1,What is your race?,Q6OTH1,What is your marital status?,Q7OTH1,q8x,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,q11x,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",q14x,Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,q16x,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?"
126000,Male,46,45-54,Independent,Neither approve nor disapprove,Some college,,White,,Married,,,Unlikely,Real but not Caused by People,3,,Strongly Agree,Strongly Agree,1,,No,10,,Too Low,FALSE,Smart and Sad
179000,Male,50,45-54,Republican,Strongly Approve,Graduate degree,,Latino,,Married,,,Unlikely,Not Real At All,5,,Strongly Disagree,Strongly Agree,10,,No,2,,Too Low,FALSE,Dumb and happy
122000,Female,48,45-54,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Not Real At All,2,,Somewhat Disagree,Somewhat Agree,20,,No,30,,Too High,FALSE,Dumb and happy
113000,Female,54,45-54,Independent,Strongly disapprove,Graduate degree,,White,,Divorced,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,65,,Yes,10,,Too Low,FALSE,Smart and Sad
140000,Male,21,18-24,Independent,Somewhat disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,3,,Somewhat Agree,Somewhat Agree,3,,No,20,,Too Low,TRUE,Dumb and happy
207000,Female,48,45-54,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Disagree,Strongly Agree,150,,No,20,,About Right,FALSE,Dumb and happy
182000,Female,42,35-44,Independent,Somewhat disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,12,,Yes,10,,Too Low,FALSE,Smart and Sad
128000,Female,50,45-54,Independent,Strongly Approve,Some college,,White,,Married,,,Likely,Real and Caused by People,3,,DK/REF,Strongly Agree,5,,Yes,,Yes,DK/REF,FALSE,Smart and Sad
71000,Female,40,35-44,Independent,Strongly disapprove,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,60,,No,5,,Too Low,FALSE,Smart and Sad
70000,Male,52,45-54,Republican,Strongly Approve,Some college,,White,,Married,,,Unlikely,DK/REF,0,,Strongly Disagree,Somewhat Agree,0,,No,,Yes,DK/REF,FALSE,Smart and Sad
,Male,37,35-44,Independent,Strongly disapprove,College degree,,White,,Divorced,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,15,,No,15,,Too Low,FALSE,Smart and Sad
,Female,45,45-54,Independent,Somewhat disapprove,College degree,,White,,Married,,,Likely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,1,,Yes,20,,Too Low,FALSE,Dumb and happy
,Female,27,25-34,DK/REF,Neither approve nor disapprove,High school,,White,,In a relationship,,,Unlikely,Real and Caused by People,,Yes,DK/REF,Strongly Agree,3,,No,,Yes,About Right,TRUE,Dumb and happy
,Female,43,35-44,Independent,Strongly disapprove,Some college,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Somewhat Agree,12,,Yes,4,,Too Low,FALSE,Smart and Sad
,Male,28,25-34,Republican,Neither approve nor disapprove,Graduate degree,,White,,Single,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,16,,No,10,,Too Low,TRUE,Smart and Sad
,Female,80,65+,Democrat,Strongly disapprove,DK/REF,,White,,Separated,,,Likely,Not Real At All,,Yes,Strongly Agree,Strongly Agree,25,,No,,Yes,About Right,TRUE,Dumb and happy
,Male,68,65+,Republican,Strongly Approve,Graduate degree,,White,,Married,,Yes,Unlikely,Real but not Caused by People,0,,Somewhat Disagree,Somewhat Agree,3,,No,2,,Too High,FALSE,Dumb and happy
,Male,36,35-44,DK/REF,DK/REF,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,4,,Somewhat Agree,Somewhat Disagree,12,,No,,Yes,DK/REF,TRUE,Dumb and happy
,Female,53,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,35,,Yes,20,,About Right,FALSE,Dumb and happy
,Male,38,35-44,DK/REF,Somewhat disapprove,Other,doctorate,White,,Married,,Yes,Unlikely,DK/REF,,Yes,Somewhat Agree,Strongly Agree,10,,Yes,,Yes,Too High,DK/REF,Smart and Sad
,Female,37,35-44,Republican,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Strongly Disagree,Somewhat Disagree,10,,No,22,,About Right,TRUE,DK/REF
,Female,42,35-44,Independent,Strongly disapprove,Some college,,White,,Divorced,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,20,,Yes,10,,Too Low,DK/REF,Dumb and happy
,Male,24,18-24,DK/REF,Strongly Approve,Some college,,Other,Native American,Single,,,Unlikely,Real and Caused by People,2,,Neither Agree nor Disagree,Neither Agree nor Disagree,,Yes,No,,Yes,DK/REF,TRUE,DK/REF
,Female,50,45-54,Democrat,Strongly disapprove,College degree,,Other,Native American,Married,,,Unlikely,Not Real At All,,Yes,Strongly Disagree,Strongly Agree,2,,Yes,,Yes,Too Low,DK/REF,Dumb and happy
,Male,53,45-54,Republican,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,7,,No,3,,About Right,FALSE,Dumb and happy
,Female,30,25-34,Independent,Somewhat disapprove,Other,master's degree,Asian,,In a relationship,,,Unlikely,DK/REF,1,,Strongly Agree,Strongly Agree,20,,No,15,,About Right,FALSE,Dumb and happy
,Female,20,18-24,Democrat,Strongly disapprove,Some college,,Black,,Single,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,10,,Yes,10,,About Right,FALSE,Dumb and happy
,Male,67,65+,Republican,Strongly Approve,Some college,,White,,In a relationship,,,Unlikely,Not Real At All,0,,Somewhat Agree,DK/REF,4,,No,,Yes,About Right,TRUE,Smart and Sad
77000,Male,18,18-24,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,3,,Yes,35,,About Right,FALSE,Smart and Sad
,Female,34,25-34,Democrat,Strongly disapprove,Graduate degree,,Asian,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,60,,No,13,,Too Low,FALSE,Smart and Sad
,Male,60,55-64,Democrat,Somewhat disapprove,High school,,Black,,Single,,,Likely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,20,,No,,Yes,About Right,TRUE,Dumb and happy
,Male,25,25-34,DK/REF,DK/REF,Some college,,Latino,,Married,,,Unlikely,Real and Caused by People,3,,DK/REF,DK/REF,5,,No,,Yes,DK/REF,FALSE,DK/REF
,Male,56,55-64,Republican,Strongly Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,2,,Strongly Disagree,Somewhat Disagree,4,,Yes,2,,Too High,FALSE,Smart and Sad
,Male,50,45-54,Republican,Strongly Approve,High school,,White,,In a relationship,,,Unlikely,Not Real At All,0,,Strongly Disagree,Somewhat Agree,1,,No,5,,Too High,FALSE,Dumb and happy
96000,Female,61,55-64,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,2,,Strongly Agree,Strongly Agree,2,,Yes,,Yes,DK/REF,TRUE,Smart and Sad
,Female,34,25-34,Independent,Somewhat Approve,Some college,,White,,Divorced,,,DK/REF,Real and Caused by People,3,,Strongly Agree,Strongly Agree,0,,Yes,5,,DK/REF,TRUE,Smart and Sad
,Female,55,55-64,Republican,Strongly Approve,Graduate degree,,White,,Widowed,,,Unlikely,Not Real At All,0,,Somewhat Disagree,Somewhat Agree,5,,No,18,,DK/REF,FALSE,DK/REF
,Male,25,25-34,Independent,Strongly Approve,High school,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,0,,Yes,,Yes,DK/REF,DK/REF,Smart and Sad
,Female,19,18-24,DK/REF,Strongly disapprove,Some college,,White,,Single,,,Unlikely,Real and Caused by People,2,,Somewhat Agree,Strongly Agree,2,,Yes,60,,About Right,TRUE,Dumb and happy
,Male,70,65+,Independent,Somewhat Approve,DK/REF,,White,,Married,,,Unlikely,Not Real At All,1,,Strongly Disagree,DK/REF,1,,No,0,,Too High,TRUE,DK/REF
,Male,28,25-34,Independent,Somewhat disapprove,Some college,,White,,Married,,,Likely,Real and Caused by People,0,,Somewhat Agree,Somewhat Agree,1,,Yes,85,,About Right,TRUE,Dumb and happy
,Male,35,35-44,Independent,Somewhat Approve,Graduate degree,,White,,Married,,,Unlikely,Real but not Caused by People,1,,Somewhat Agree,Strongly Agree,10,,Yes,1,,Too Low,FALSE,Dumb and happy
,Other,27,25-34,Independent,Strongly disapprove,College degree,,White,,In a relationship,,,Likely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,8,,No,40,,Too High,FALSE,Dumb and happy
,Female,48,45-54,Independent,Strongly Approve,Some college,,White,,Single,,,Unlikely,Not Real At All,0,,DK/REF,Somewhat Agree,,Yes,Yes,,Yes,DK/REF,DK/REF,Dumb and happy
,Female,50,45-54,DK/REF,Strongly disapprove,College degree,,Other,Native American,In a relationship,,,Unlikely,Real and Caused by People,0,,Somewhat Agree,Strongly Agree,50,,Yes,,Yes,Too Low,TRUE,Smart and Sad
,Male,30,25-34,Independent,Somewhat disapprove,Graduate degree,,Black,,Married,,,Unlikely,Real and Caused by People,1,,Strongly Agree,Strongly Agree,50,,No,5,,About Right,TRUE,Smart and Sad
,Female,35,35-44,Democrat,Strongly disapprove,Other,associate's degree,Black,,Separated,,,Unlikely,Real and Caused by People,5,,Strongly Agree,Strongly Agree,8,,Yes,20,,Too Low,FALSE,Dumb and happy
,Female,22,18-24,Democrat,Somewhat disapprove,College degree,,White,,In a relationship,,,Unlikely,Real and Caused by People,4,,Strongly Agree,Strongly Agree,6,,Yes,10,,About Right,TRUE,Dumb and happy
,Female,40,35-44,Democrat,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,0,,Strongly Agree,Strongly Agree,20,,Yes,5,,Too Low,TRUE,Dumb and happy
,Female,70,65+,DK/REF,Strongly Approve,High school,,White,,Widowed,,,Unlikely,Real but not Caused by People,0,,Somewhat Agree,Somewhat Agree,10,,No,,Yes,Too High,TRUE,Dumb and happy
,Male,46,45-54,Independent,Strongly disapprove,College degree,,White,,Married,,,Unlikely,Real and Caused by People,3,,Strongly Agree,Somewhat Agree,24,,Yes,9,,Too Low,TRUE,Smart and Sad
,Male,42,35-44,Independent,Strongly disapprove,Some college,,Black,,Divorced,,,Unlikely,Real and Caused by People,1,,Somewhat Agree,Strongly Agree,6,,No,,Yes,DK/REF,TRUE,Smart and Sad
,Male,36,35-44,DK/REF,Strongly Approve,College degree,,White,,Married,,,Unlikely,Real but not Caused by People,4,,Somewhat Agree,Neither Agree nor Disagree,15,,DK/REF,1,,Too Low,FALSE,Dumb and happy
